,url0,url1,url2,url3,click0,click1,click2,click3,orig0,click_orig0,name,Token,Guessed name,correct?,Guessed characteristics,correct?
184,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student3-name-quiz-documents/student3-2019-03-29-question-118.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student3-name-quiz-documents/student3-2019-03-29-question-118.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,cnn_00_cnn_0000___part_014.m_g,_FIX_,,,country or city/ location,y
218,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student3-name-quiz-documents/student3-2019-03-29-question-118.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student3-name-quiz-documents/student3-2019-03-29-question-118.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_014.m_gold_conll.html,cnn_00_cnn_0000___part_014.m_g,_KEK54_,,,London metro station,y
72,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-017.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-017.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_016.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_016.m_gold_conll.html,cnn_00_cnn_0000___part_016.m_g,_PEE85_,,,infamous admired female celebrity,y
299,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-017.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-017.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_016.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_cnn_00_cnn_0000___part_016.m_gold_conll.html,cnn_00_cnn_0000___part_016.m_g,_PHEER59_ _HEX_,,,female celebrity,y
26,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-021.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-021.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-021.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-021.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-021.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-021.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,c_00_msnbc_0000___part_007.m_g,_KUF15_ _MIE_,Michael Jackson,y,,
129,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,c_00_msnbc_0000___part_007.m_g,_CO0_ _JI77_,,,a television program ?,y
160,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,c_00_msnbc_0000___part_007.m_g,_KA_ _NOO97_,,,one of the jurors in the trial,y
196,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,c_00_msnbc_0000___part_007.m_g,_KA_ _NOO97_,,,,
233,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,c_00_msnbc_0000___part_007.m_g,_CO0_ _JI77_,,,a scandolous video,n
268,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-021.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_007.m_gold_conll.html,c_00_msnbc_0000___part_007.m_g,_PA91_,,,author,n
246,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-028.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-028.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_016.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_016.m_gold_conll.html,c_00_msnbc_0000___part_016.m_g,_SEA_,,,an interviewee,y
138,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-030.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-030.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_018.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_018.m_gold_conll.html,c_00_msnbc_0000___part_018.m_g,_FEEF_,,,mother of a victim of a crime,n
295,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-030.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-030.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_018.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_msnbc_00_msnbc_0000___part_018.m_gold_conll.html,c_00_msnbc_0000___part_018.m_g,_FEEF_,,,person,y
28,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-034.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-034.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,00_phoenix_0000___part_003.m_g,_GEAN17_ _XIE5_,,,either a geographical entity or the name of a person,y
56,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-034.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-034.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-034.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,00_phoenix_0000___part_003.m_g,_PHEED_,,,a Chinese city,y
198,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-034.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-034.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,00_phoenix_0000___part_003.m_g,_NI71_ _POO56_,,,"location, city",n
298,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-034.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-034.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bc_phoenix_00_phoenix_0000___part_003.m_gold_conll.html,00_phoenix_0000___part_003.m_g,_SHIEC_,,,city,y
7,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-038.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-038.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-038.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-first-100-docs/student2-2019-03-29-question-038.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-documents-to-fix/student2-2019-03-29-question-038.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-2019-07-06/student2-2019-03-29-question-038.html,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_abc_00_abc_0030___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_abc_00_abc_0030___part_000.m_gold_conll.html,abc_00_abc_0030___part_000.m_g,_PEA_ _MIP_,,,"tv channel, some kind of news agency",y
307,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-038.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-038.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_abc_00_abc_0030___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_abc_00_abc_0030___part_000.m_gold_conll.html,abc_00_abc_0030___part_000.m_g,_PHOX25_ _CEE_,,,organization,y
69,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-documents-for-name-annotation/student1-2019-03-14-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,cnn_00_cnn_0050___part_000.m_g,_THUD67_,,,a country,y
164,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,cnn_00_cnn_0050___part_000.m_g,_JIE91_,Israel,y,,
170,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student2-name-quiz-documents/student2-2019-03-29-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,cnn_00_cnn_0050___part_000.m_g,_SHY_ _SIE5_,,,a CNN reporter,y
237,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,cnn_00_cnn_0050___part_000.m_g,_SHY_ _SIE5_,,,news reporter,y
276,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/data/annotations/documents/student1-name-quiz-documents/student1-2019-03-14-question-042.html,,,,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,file:///Users/cumeo/Projects/spinoza/ulm-4/EvEn/output/conll-2012-transformed/orig/dev/bn_cnn_00_cnn_0050___part_000.m_gold_conll.html,cnn_00_cnn_0050___part_000.m_g,_WEAD_,,,place,y
