"Timestamp","Username","Total score","Document","Document [Score]","Document [Feedback]","Excerpt (for verification)","Excerpt (for verification) [Score]","Excerpt (for verification) [Feedback]","Sentence 1","Sentence 1 [Score]","Sentence 1 [Feedback]","Sentence 2","Sentence 2 [Score]","Sentence 2 [Feedback]","Sentence 3","Sentence 3 [Score]","Sentence 3 [Feedback]"
"2019/06/16 8:40:55 pm EET","student2","0.00 / 3","student2-2019-03-29-question-424.html","-- / 0","","The oil industry 's __ __ __ __ through __ __ of the year . Major oil companies __ __ next __ days __ __ __ __ __ __ __ __ __ they __ __ the third quarter a year ago __ __ __ __ chemical __ __ gasoline __..","-- / 0","","Changes are happening in the oil industry throughout the year.","-- / 1","","The price of oil is changing because of these changes.","-- / 1","","","-- / 1",""
"2019/06/16 8:43:50 pm EET","student2","0.00 / 3","student2-2019-03-29-question-152.html","-- / 0","","Let 's talk a __ bit __ __ what the Navy __ to prevent such __ __ We __ talking about __ this morning and we __ __ __ graphics __ you __ I __ try to explain __ the best I can __ what I remember from being __..","-- / 0","","The Navy takes serious measures in order to prevent accidents that involve people falling in the water.","-- / 1","","These measure involve strict screening of candidates and coordinated emergency drills.","-- / 1","","Sometimes, the emergency drills might be called of for different reasons, such as cold water temperature and an exhausted crew.","-- / 1",""
"2019/06/16 8:50:12 pm EET","student2","0.00 / 3","student2-2019-03-29-question-396.html","-- / 0","","The Presidential Advisory Group __ again __ November __ , __ __ __ __ __ made __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ members __ the Group __ for "" one China "" __ __ __ through "" __ __ and __..","-- / 0","","The Taiwanese Presidential Advisory Group reached a firm consensus about the ""One China"" question.","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/16 8:54:57 pm EET","student2","0.00 / 3","student2-2019-03-29-question-432.html","-- / 0","","General Motors Corp. __ __ a __ __ moves that angered union officials in the U.S. and Canada , __ signaled that as __ __ five North American assembly __ __ not survive the mid-1990s as the corporation __ to cut its excess vehicle __ making __ __ In announcements..","-- / 0","","General Motors has announced the closing of a number of unprofitable factories in the U.S. and Canada.","-- / 1","","The decision has enraged union members and workers in both countries.","-- / 1","","Several union leaders have commented about the issue.","-- / 1",""
"2019/06/16 9:00:36 pm EET","student2","0.00 / 3","student2-2019-03-29-question-349.html","-- / 0","","In 1976 , there were two happy events in the Ye family . The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th..","-- / 0","","Ye Daying had a difficult time figuring out what to do with his life at the age of 18.","-- / 1","","He failed his exams when he applied to the Beijing Film Institute.","-- / 1","","He later got accepted to the Xian Film Studio, where he learned a lot from directorTeng Wenji","-- / 1",""
"2019/06/16 9:02:40 pm EET","student2","0.00 / 3","student2-2019-03-29-question-412.html","-- / 0","","__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ Middle age __ __ __ it __ __ __ __ __ __ __ Many people __ __ __ it __ __ __ __ __ their __ __ __..","-- / 0","","A minority of middle-aged people experience a crisis at this age.","-- / 1","","The crisis often has to do with changes in their powers and abilities.","-- / 1","","Middle-aged men find it especially difficult to talk about their feelings.","-- / 1",""
"2019/06/16 9:03:39 pm EET","student2","0.00 / 3","student2-2019-03-29-question-280.html","-- / 0","","Some __ news . __ __ __ __ __ __ __ __ __ elections , __ __ __ __ __ __ __ __ __ one very difficult condition __ __ __ __ no discussion for now about who will have what status in Jerusalem __ __ __ n't like it..","-- / 0","","Elections in Israel have an uncertain outcome.","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/16 9:17:52 pm EET","student2","0.00 / 3","student2-2019-03-29-question-170.html","-- / 0","","The days of the sailing ships Pali was originally called Palifen , a transliteration of the place name used by the Ketagalan indigenous people . Located on the northwest corner of Taiwan , Pali faces the Taiwan Strait to the northwest , rests against Mt. Kuanyin to the southeast ,..","-- / 0","","Pali township was an important harbor in Taiwain during the second half of the 18th century.","-- / 1","","However, the town later lost its status as an important fishing harbor.","-- / 1","","Urban transformation finally began in Pali in the 1970s","-- / 1",""
"2019/06/16 9:19:44 pm EET","student2","0.00 / 3","student2-2019-03-29-question-256.html","-- / 0","","I __ __ __ __ __ __ __ __ Washington this __ __ The __ __ __ __ /. Our __ __ __ North Korea 's Kim Jong - Il defies __ __ testing __ range __ which __ day __ __ nuclear __ __ __ this man __ __..","-- / 0","","North Korea has defied the nuclear testing ban.","-- / 1","","The U.S. administration has reacted to the event.","-- / 1","","","-- / 1",""
"2019/06/16 9:24:26 pm EET","student2","0.00 / 3","student2-2019-03-29-question-103.html","-- / 0","","__ hawk meets __ Chou Chi - ping -LRB- senior advisor at Business Weekly -RRB- and Tseng Fu - sheng -LRB- general secretary of the KMT 's Department of Mainland Operations -RRB- __ __ the __ __ cross-strait __ __ __ __ in __ air __ Chou __ __ a..","-- / 0","","Chou-chi Ping and Tseng Fu-sheng discuss cross-strait relations between China and Taiwan.","-- / 1","","The deep divide between mainland authorities and the Taiwanese might lead to misunderstandings.","-- / 1","","","-- / 1",""
"2019/06/16 9:26:19 pm EET","student2","0.00 / 3","student2-2019-03-29-question-401.html","-- / 0","","The weeping river __ __ __ __ the weeping junks __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ several of these boats __ __ __ __ __ __ __ __ __ __ the sunken junks __ __..","-- / 0","","The government is planning to build a riverside highway to Tanshui.","-- / 1","","Another Tanshui project involves building high-rise apartments.","-- / 1","","Some residents of Tanshui are unhappy with these projects.","-- / 1",""
"2019/06/16 9:33:00 pm EET","student2","0.00 / 3","student2-2019-03-29-question-414.html","-- / 0","","2. Start over In China __ used to be said that middle __ was the period when one __ "" heir to the __ sages and the teacher of __ . "" But __ times __ changing so __ that perhaps the __ of __ experience are no longer suitable..","-- / 0","","Middle-aged people in China must learn to cast away their old self and start over to be succesful","-- / 1","","Both men and women have set too high expectations for themselves.","-- / 1","","People place a lot of pressure on themselves during these changes times in China.","-- / 1",""
"2019/06/21 2:31:04 pm EET","student2","0.00 / 3","student2-2019-03-29-question-403.html","-- / 0","","Tanshui __ __ __ Tanshui Township -LRB- also spelled Tamsui -RRB- __ __ __ Taipei County __ It __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ it __ __..","-- / 0","","NA","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/22 1:50:06 pm EET","student1","0.00 / 3","student1-2019-03-14-question-272.html","-- / 0","","Governor Richardson __ __ __ you __ the North Koreans __ __ __ we __ __ their test missile __ __ I __ __ __ Assistant Secretary Carter __ __ __ __ __ he __ __ __ __ __ __ __ __ __ __ __ __ __ I __ __..","-- / 0","","NA","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/22 2:00:09 pm EET","student1","0.00 / 3","student1-2019-03-14-question-159.html","-- / 0","","Walter Sisulu and the African National Congress came home yesterday . After 26 years in prison , Mr. Sisulu , the 77 - year - old former secretary - general of the liberation movement , was dropped off at his house by a prison services ' van just as the..","-- / 0","","There is political unrest in South Africa.","-- / 1","","South African leaders of the ANC were released from prison.","-- / 1","","","-- / 1",""
"2019/06/22 3:31:04 pm EET","student1","0.00 / 3","student1-2019-03-14-question-268.html","-- / 0","","But there __ __ a profound change in the rhetoric certainly of the President on __ subject /. Here 's the President Friday at this news conference in Chicago about North Korea /. __ takes a __ __ a problem to __ __ __ /. and then it takes a..","-- / 0","","North Korea is a questionable country.","-- / 1","","The US is trying to understand North Korea's missile situation.","-- / 1","","The US president described Kim Jong rudely. ","-- / 1",""
"2019/06/22 3:32:47 pm EET","student1","0.00 / 3","student1-2019-03-14-question-263.html","-- / 0","","__ __ serial crimes __ __ __ We __ __ the emerging behavior __ we __ __ __ this __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ a smaller pool of..","-- / 0","","There is a group of offenders committing crimes.","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/22 3:33:23 pm EET","student1","0.00 / 3","student1-2019-03-14-question-288.html","-- / 0","","__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ Mr. Clinton __ __ __ President Clinton __ __ Northern Ireland __ he __ __ __ __ __ __ He __ __ __ __ __ __ __ __ __ __ __ __ Mr...","-- / 0","","NA","-- / 1","","","-- / 1","","","-- / 1",""
"2019/06/22 3:41:14 pm EET","student1","0.00 / 3","student1-2019-03-14-question-218.html","-- / 0","","Devastating Critique of the Arab World by __ of Its __ Thanks again to my friend __ Keck for __ this along __ e-mail . It is the text of a __ given by an Arab gentleman before the advisory board of a large multi-nation corporation . It 's a..","-- / 0","","Nick Keck's speech is about his opinion on a conflict in the Middle East.","-- / 1","","Nick Keck thinks some Moslem's  are victims of their reputation.","-- / 1","","","-- / 1",""
"2019/06/22 10:45:43 pm EET","student1","0.00 / 3","student1-2019-03-14-question-218.html","-- / 0","","Devastating Critique of the Arab World by __ of Its __ Thanks again to my friend __ Keck for __ this along __ e-mail . It is the text of a __ given by an Arab gentleman before the advisory board of a large multi-nation corporation . It 's a..","-- / 0","","Nick Keck has a personal account for the Israeli-Arab conflict.","-- / 1","","Nick Keck believes the Israeli-Arab conflict is about more than just a smaller part of the Arab World.","-- / 1","","Kick Keck believes some Moslems are victims of their negative stereotype.","-- / 1",""
"2019/06/22 10:47:36 pm EET","student1","0.00 / 3","student1-2019-03-14-question-233.html","-- / 0","","__ __ __ exactly __ __ react __ __ __ __ __ __ at __ __ __ __ __ __ __ SMS __ I __ __ __ that Jingguang Bridge __ __ __ I say __ __ is __ good __ __ __ . __ you __ information like __..","-- / 0","","An accident occured at the Jingguang Bridge.","-- / 1","","NA","-- / 1","","NA","-- / 1",""
"2019/06/22 10:54:13 pm EET","student1","0.00 / 3","student1-2019-03-14-question-187.html","-- / 0","","Jesus __ all the followers together __ He said , `` The non-Jewish people have men they call rulers . You __ that those rulers love __ show their __ __ the people __ And their important leaders love to __ __ their authority __ the people . But it..","-- / 0","","A blind man named Bartimaeus follwed Jesus. ","-- / 1","","Jesus explains to people why they should follow him.","-- / 1","","There is someone who wants to help the people who follow him.","-- / 1",""
"2019/06/22 10:57:15 pm EET","student1","0.00 / 3","student1-2019-03-14-question-286.html","-- / 0","","__ __ __ __ __ __ __ __ __ __ __ the great Wind Cave in South Dakota __ __ __ matter . We __ __ is __ __ __ for some __ __ __ __ __ __ others __ __ __ __ __ __ . __ __ Judy Muller..","-- / 0","","There is a Wind Cave in South Dakota.","-- / 1","","The Wind Cave is a touristic attraction.","-- / 1","","The Wind Cave has crystals in it. ","-- / 1",""
"2019/06/22 11:11:20 pm EET","student1","0.00 / 3","student1-2019-03-14-question-066.html","-- / 0","","Freddie Mac __ giving golden parachutes __ __ of its __ __ __ Our Rhonda Schaffler is __ __ __ __ __ __ __ latest on this unfolding story , certainly one we have been hearing a lot about . Reporter __ __ __ right . There __ __ new..","-- / 0","","NA","-- / 1","","NA","-- / 1","","NA","-- / 1",""
"2019/06/22 11:13:02 pm EET","student1","0.00 / 3","student1-2019-03-14-question-047.html","-- / 0","","Al Gore is spending the __ holiday in Washington with his __ . Yesterday , he and his wife , Tipper , made their __ visit to a local __ bank . The Vice President joked whether __ ought to recount __ boxes of food . Gore also says he..","-- / 0","","Al Gore spent Thanksgiving with his family in Washington.","-- / 1","","Gore volunteered on Thanksgiving. ","-- / 1","","Gore has recommendations for Bush.","-- / 1",""
"2019/06/22 11:15:45 pm EET","student1","0.00 / 3","student1-2019-03-14-question-184.html","-- / 0","","Xinhua __ Agency __ Beijing __ September 1st __ the __ of __ __ __ __ __ the China Traditional Martial Arts Imperial College and the China Traditional Literature Imperial College __ __ today in Beijing __ The above two imperial colleges have been __ __ __ approval of the..","-- / 0","","Beijing is important for 2 Iimperial colleges. ","-- / 1","","Mr. Zhiren Li might have some affiliation with the 2 colleges.","-- / 1","","The 2 colleges have approval by a national committee.","-- / 1",""
"2019/06/22 11:17:52 pm EET","student1","0.00 / 3","student1-2019-03-14-question-151.html","-- / 0","","Roger Rosenblatt , editor of U.S. News & World Report , resigned Friday from the weekly news magazine . Mr. Rosenblatt said he resigned because of difficulties with commuting between his home in New York and the magazine 's editorial offices in Washington . `` Frankly , I missed my..","-- / 0","","Roger Rosenblatt lef this job.","-- / 1","","Roger Rosenblatt missed his family. ","-- / 1","","An executive and a writer will take over Roger Rosenblatt's position.","-- / 1",""
"2019/06/22 11:18:52 pm EET","student1","0.00 / 3","student1-2019-03-14-question-264.html","-- / 0","","I __ __ __ __ __ __ __ __ Washington this __ __ The __ __ __ __ /. Our __ __ __ North Korea 's Kim Jong - Il defies __ __ testing __ range __ which __ day __ __ nuclear __ __ __ this man __ __..","-- / 0","","NA","-- / 1","","NA","-- / 1","","NA","-- / 1",""
"2019/06/22 11:22:12 pm EET","student1","0.00 / 3","student1-2019-03-14-question-004.html","-- / 0","","Wetland Park workers are now in the __ __ __ work __ They will __ the park 's entire construction __ __ __ __ 2006 , to be __ to __ in the 2006 Discover Hong Kong Year campaign . Ah __ we have established the year 2006 __ Discover..","-- / 0","","There are various Buddha statues. ","-- / 1","","Buddha statues are located in various places. ","-- / 1","","Lantau Island is a popular touristic location.","-- / 1",""
"2019/06/22 11:38:36 pm EET","student1","0.00 / 3","student1-2019-03-14-question-159.html","-- / 0","","Walter Sisulu and the African National Congress came home yesterday . After 26 years in prison , Mr. Sisulu , the 77 - year - old former secretary - general of the liberation movement , was dropped off at his house by a prison services ' van just as the..","-- / 0","","Several ANC leaders were released from imprisonment. ","-- / 1","","An ANC rally took place at the Holy Cross Anglican Church in Soweto.","-- / 1","","The leader Andrew Mlangeni  told followers at a rally to stay disciplined. ","-- / 1",""
"2019/06/22 11:43:09 pm EET","author1","0.00 / 3","test","-- / 0","","test","-- / 0","","test","-- / 1","","test","-- / 1","","test","-- / 1",""
"2019/06/23 9:43:44 am EET","student1","0.00 / 3","student1-2019-03-14-question-059.html","-- / 0","","Stocks sold off on Wall Street today , ending a two - session rally . One catalyst rose to the highest level in more then a year . The Dow Jones Industrial Average down 75.62 . The Nasdaq lost almost nine . The S&P 500 down almost eight . The..","-- / 0","","Wall Street Stocks had negative performance.","-- / 1","","A lot of Enron employees have been charged.","-- / 1","","Dixie Chicks did something disuptable. ","-- / 1",""
"2019/06/23 9:47:16 am EET","student1","0.00 / 3","student1-2019-03-14-question-043.html","-- / 0","","__ __ __ __ bastions __ __ __ War is __ __ of __ diplomatic thawing today . North Korea __ its __ to the U.S. today , __ Secretary of State Madeleine Albright for __ __ __ __ __ __ - il __ Albright __ __ __ groundwork for..","-- / 0","","Secretary of State Madeleine Albright is modeling some actions before Clinton.","-- / 1","","North Korea and the US might have come to an agreement. ","-- / 1","","The US is concerned about some relations with North Korea. ","-- / 1",""
"2019/06/23 10:12:36 am EET","student1","0.00 / 3","student1-2019-03-14-question-067.html","-- / 0","","Off the coast there was a dramatic rescue by a cruise ship ship . Canada TV has the story and some dramatic pictures . Reporter : With winds bliping at more than 100 kilometers an hour , three men desperately cling to their sinking fishing boat . The crew sent..","-- / 0","","A cruise ship needed to be rescued.","-- / 1","","It took some time before the ship could be saved.","-- / 1","","It is uncertain if the captain was saved. ","-- / 1",""
"2019/06/23 10:15:57 am EET","student1","0.00 / 3","student1-2019-03-14-question-007.html","-- / 0","","But we begin tonight with an ongoing mystery /. Who is that lone man discovered last month frozen in California 's Sierra Nevada mountains with just a few tantalizing clues to his identity /? This we do know at this hour /. The man died more than sixty years ago..","-- / 0","","A World War Two fighter was found dead in the Sierra Nevada mountains.","-- / 1","","Forensic specialists try to determine the suspicious deaths of airmen.","-- / 1","","Dr. Robert Mann was able to determine some facts about one of the dead airmen.","-- / 1",""
"2019/06/23 11:11:20 am EET","student2","0.00 / 3","student2-2019-03-29-question-449.html","-- / 0","","A group of Arby 's franchisees __ they formed an association to oppose Miami Beach financier Victor Posner 's control of the restaurant chain __ __ __ __ __ __ __ __ __ __ __ __ the franchisees __ Mr. Posner __ __ __ __ __ __ __ __ __..","-- / 0","","Arby franchisees formed an association to oppose Victor Posner, the new head of the restaurant chain.","-- / 1","","Their aim is to preserve Arby's integrity.","-- / 1","","The franchisees operate 1000 of out the 1900 restaurants.","-- / 1",""
"2019/06/23 11:16:51 am EET","student2","0.00 / 3","student2-2019-03-29-question-052.html","-- / 0","","Hi . Thanks for looking in . Our top story this half hour -- sources tell CNN President Clinton and independent counsel Robert Ray have reached an accommodation that would end the long - running investigation of the Clinton White House . Details are to be announced at this hour..","-- / 0","","The White House is announcing details about an agreement between President Clinton and independent counsel Robert Ray.","-- / 1","","President Clinton will admit that he has mislead investigators about his affairs with Paula Jones and Monica Lewinsky.","-- / 1","","Mr. Clinton will not be indicted in return for his testimony.","-- / 1",""
"2019/06/23 11:21:36 am EET","student2","0.00 / 3","student2-2019-03-29-question-137.html","-- / 0","","So __ __ ever came __ __ you to do a __ ? __ that __ __ Mm , no one __ __ looking -- . They looked , __ it was __ just __ an extra __ , you did n't even have __ lines . Mm . That..","-- / 0","","Ye Daying once played Zhang Xueliang's secretary in a movie.","-- / 1","","Later, his whole body became paralyzed due to an inflammation of his nervous system.","-- / 1","","The hormones he took as a remedy made him gain a lot of weight.","-- / 1",""
"2019/06/23 11:24:27 am EET","student2","0.00 / 3","student2-2019-03-29-question-173.html","-- / 0","","p. 62 Hsu Tsang-houei introduced modern Western classical music to Taiwan before making pioneering collections of traditional Taiwanese music . His major opera on Zheng Chenggong -LRB- Koxinga -RRB- debuted just last year . The most important Taiwanese musical master of the last half century , he was a beloved..","-- / 0","","Hsu Tsang-houei is Taiwan's most beloved composer of the second half of the 20th century.","-- / 1","","Chang Kwang-chih made important contributions to the development of Taiwanese archeology.","-- / 1","","Taiwanese historian Tai Kuo-hui went against political dogma in order to face historical truth.","-- / 1",""
"2019/06/23 11:29:53 am EET","student2","0.00 / 3","student2-2019-03-29-question-363.html","-- / 0","","There was , of course , a team of attorneys on both sides of this live network coverage over the weekend of this trial going on in the courtroom in Florida , and , of course , among the teams of lawyers on the Bush side , one of the..","-- / 0","","Ben Ginsberg, attorney for the Bush team, must go along with the appeals process initiated by the Gore team following the contested vote in Florida.","-- / 1","","The Democrats are falsely claiming that the votes haven't been counted yet.","-- / 1","","Ginsberg cannot predict how far the case will go in the court system.","-- / 1",""
"2019/06/23 11:32:17 am EET","student2","0.00 / 3","student2-2019-03-29-question-003.html","-- / 0","","Hong Kong Wetland Park , which is currently under construction , is also one of the designated new projects of the Hong Kong SAR government for advancing the Hong Kong tourism industry . This is a park intimately connected with nature , being built by the Hong Kong government for..","-- / 0","","Hong Kong Wetland Park is supposed to advance tourism in the city.","-- / 1","","In the park, visitors can learn about wetlands around the world and their wildfile","-- / 1","","Children get also learn the names of different plants and animals in the park.","-- / 1",""
